일련번호,언어,태그명,정렬순서,생성일
77970,말레이문,Mountains,1,2022-03-22
77971,말레이문,Rest/Healing,2,2022-03-22
77972,말레이문,만남,3,2022-03-22
77973,말레이문,여름,4,2022-03-22
77926,국문,친구,7,2022-03-22
77927,국문,커플,8,2022-03-22
77928,국문,해변,9,2022-03-22
77929,국문,아이,10,2022-03-22
77930,영문,Overcast,1,2022-03-22
77931,영문,협재,2,2022-03-22
77932,영문,Marado Island,3,2022-03-22
77933,영문,Seaside,4,2022-03-22
77934,영문,힐링,5,2022-03-22
77935,영문,Olle Walking Trails,6,2022-03-22
77936,영문,kids,7,2022-03-22
77937,영문,Couples,8,2022-03-22
77938,영문,Volcanic Cones,9,2022-03-22
77939,영문,애인,10,2022-03-22
77940,중문간체,溪谷,1,2022-03-22
77941,중문간체,절벽,2,2022-03-22
77942,중문간체,새별오름,3,2022-03-22
77943,중문간체,徒步/登山,4,2022-03-22
77944,중문간체,情,5,2022-03-22
77945,중문간체,jeju,6,2022-03-22
77946,중문간체,내년에,7,2022-03-22
77947,중문간체,孩子,8,2022-03-22
77948,중문간체,土食,9,2022-03-22
77949,중문간체,日落名,10,2022-03-22
77950,일문,해녀,1,2022-03-22
77951,일문,オルレ,2,2022-03-22
77952,일문,걷기명상,3,2022-03-22
77953,일문,올레길,4,2022-03-22
77954,일문,コヒ,5,2022-03-22
77955,일문,가을바다,6,2022-03-22
77956,일문,면세점,7,2022-03-22
77957,일문,어반스케치,8,2022-03-22
77958,일문,단풍눈,9,2022-03-22
77959,일문,새를싫어하세요,10,2022-03-22
77960,중문번체,석양,1,2022-03-22
77961,중문번체,Walking,2,2022-03-22
77962,중문번체,삼양검은모래해변,3,2022-03-22
77963,중문번체,海邊,4,2022-03-22
77964,중문번체,제주가을,5,2022-03-22
77965,중문번체,제주도,6,2022-03-22
77966,중문번체,봄,7,2022-03-22
77967,중문번체,村莊,8,2022-03-22
77968,중문번체,제주여행,9,2022-03-22
77969,중문번체,晴,10,2022-03-22
77974,말레이문,Couples,5,2022-03-22
77975,말레이문,초록,6,2022-03-22
77976,말레이문,체험,7,2022-03-22
77977,말레이문,행복,8,2022-03-22
77978,말레이문,Nature,9,2022-03-22
77979,말레이문,혼자,10,2022-03-22
77920,국문,걷기/등산,1,2022-03-22
77921,국문,경관/포토,2,2022-03-22
77922,국문,마을,3,2022-03-22
77923,국문,오름,4,2022-03-22
77924,국문,부모,5,2022-03-22
77925,국문,혼자,6,2022-03-22
