YR,RANK,MODEL,TYPE
2021,1,3세대K5,중형
2021,2,올뉴아반떼,중소형
2021,3,소나타 DN,중형
2021,4,올뉴K3,중소형
2021,5,LF소나타뉴라이즈,중형
2021,6,더뉴그랜져,중대형
2021,7,더올뉴제네시스G80,중대형
2021,8,그랜져IG,중대형
2021,9,팰리세이드,대형 RV
2021,10,K8,중대형
2021,11,더올뉴스포티지,RV
2021,12,4세대카니발,승합
2021,13,그랜드스타렉스,승합
2021,14,QM3,소형 RV
2021,15,셀토스,소형 RV
2021,16,더올뉴제네시스G70,중대형
2021,17,뉴K3,중소형
2021,18,쏘울부스터,중소형
2021,19,4세대쏘렌토,RV
2022,1,3세대K5,중형
2022,2,올뉴아반떼,중소형
2022,3,더뉴그랜져,중대형
2022,4,LF소나타뉴라이즈,중형
2022,5,더뉴모닝,경차
2022,6,코나,소형 RV
2022,7,올뉴K3,중소형
2022,8,소나타DN,중형
2022,9,더올뉴스포티지,RV
2022,10,더뉴싼타페,RV
2022,11,뉴티볼리,소형 RV
2022,12,뉴그랜드스타렉스,승합
2022,13,팰리세이드,대형 RV
2022,14,올뉴카니발,승합
2022,15,QM6,RV
2022,16,더뉴레이,경차
2022,17,제네시스GV70,대형 RV
2022,18,4세대카니발,승합
2022,19,스타리아,승합
2022,20,제네시스G70,중대형
2022,21,더올뉴제네시스G80,중대형
